FLYBY	DATE	ALTITUDE
Phoebe	2004 June 11, 19:33	1,997
Rings	2004 June 30	0
Insetion	2004 July 1, 02:48	0
Titan	2004 October 26, 15:30	1,200
Tethys	2004 October 28	256,000
Titan	2004 December 13, 11:38	1,200
Probe_Release	2004 December 25, 02:00	0 	
Titan	2005 January 14, 11:12	59,996
Titan	2005 February 15, 06:58	1,577
Enceladus	2005 February 17, 03:30	1,176
Polydeuces	2005 February 17, 08:48	6,447
Enceladus	2005 March 9, 09:08	500
Titan	2005 March 31, 20:05	2,402
Titan	2005 April 16, 19:12	1,025
Enceladus	2005 July 14, 19:58	175
Titan	2005 August 22, 08:53	3,758
Titan	2005 September 7, 08:01	1,025
Tethys	2005 September 24, 01:36	1,500
Hyperion	2005 September 26, 01:46	500
Dione	2005 October 11, 17:59	500
Titan	2005 October 28, 04:04	1,451
Rhea	2005 November 26, 22:37	500
Titan	2006 January 15, 11:41	2,043
Titan	2006 February 27, 08:25	1,813
Titan	2006 March 19, 00:06	1,951
Titan	2006 April 30, 20:58	1,855
Titan	2006 May 20, 12:18	1,879
Titan	2006 July 2, 09:21	1,906
Titan	2006 July 22, 00:25	950
Titan	2006 September 7, 20:13	950
Methone	2006 September 9, 19:17	15,100
Titan	2006 September 23, 18:54	950
Titan	2006 October 9, 17:25	950
Titan	2006 October 25, 15:53	950
Titan	2006 December 12, 11:37	950
Titan	2006 December 28, 10:02	1,500
Titan	2007 January 13, 08:36	950
Titan	2007 January 29, 07:13	2,726
Titan	2007 February 22, 03:10	950
Titan	2007 March 10, 01:47	950
Titan	2007 March 26, 00:21	950
Titan	2007 April 10, 22:57	950
Titan	2007 April 26, 21:31	950
Titan	2007 May 12, 20:08	950
Titan	2007 May 28, 18:51	2,426
Titan	2007 June 13, 17:46	950
Titan	2007 June 29, 17:02	1,944
Titan	2007 July 19, 00:37	1,300
Titan	2007 August 31, 06:35	3,212
Iapetus	2007 September 10, 12:34	1,227
Titan	2007 October 2, 04:54	950
Titan	2007 November 19, 00:58	950
Titan	2007 December 5, 00:06	1,300
Titan	2007 December 20, 22:53	950
Titan	2008 January 5, 21:25	950
Methone	2008 January 15, 21:11	15,600
Titan	2008 February 22, 17:39	950
Enceladus	2008 March 12, 19:07	1,000
Titan	2008 March 25, 14:35	950
Titan	2008 May 12, 10:10	950
Pallene	2008 May 25, 22:06	28,000
Titan	2008 May 28, 08:33	1,348
Janus	2008 June 30, 08:58	30,000
Titan	2008 July 31, 02:13	1,613
Enceladus	2008 August 11, 21:06	54
Enceladus	2008 October 9, 19:07	25
Pallene	2008 October 17, 02:58	29,000
Enceladus	2008 October 31, 17:15	197
Titan	2008 November 3, 17:35	1,100
Titan	2008 November 19, 15:56	1,023
Titan	2008 December 5, 14:26	960
Titan	2008 December 21, 13:00	970
Titan	2009 February 7, 08:51	960
Titan	2009 March 27, 04:44	960
Titan	2009 April 4, 01:48	4,150
Titan	2009 April 20, 00:21	3,600
Titan	2009 May 5, 22:54	3,244
Titan	2009 May 21, 21:27	965
Titan	2009 June 6, 20:00	965
Titan	2009 June 22, 18:33	955
Titan	2009 July 8, 17:04	965
Titan	2009 July 24, 15:34	955
