# Cassini Titan flyby list
# Source: https://www.sciencedirect.com/science/article/pii/S037015731500441X
# Paper: The Interaction between Saturn's Moons and their Plasma Environments
#        Author: Sven Simon
#        Year: 2015
#        Journal: Physics Reports, vol 602
#-------------------------------------------------------------------------------------
Flyby	SLT(h)	EventTime(UTC)	Alt.(km)	Long.(deg)	Lat.(deg)	Vx	Vy	Vz	V(km/s)	Description
aTI(TA)	10.6	2004 OCT 26 (300), 15:30:04	1174.1	87.7	38.7	-1.3	5.8	1.3	6.1	inb, northb, wake
bTI(TB)	10.5	2004 DEC 13 (348), 11:38:15	1192.3	83.3	59.0	-1.9	5.7	0.7	6.1	inb, northb, wake
cTI(TC)	10.5	2005 JAN 14 (014), 11:11:58	60003.3	251.1	0.1	-1.7	5.1	0.3	5.4	inb, northb, upstr.
03TI(T3)	10.3	2005 FEB 15 (046), 06:57:52	1579.0	68.1	29.8	-2.3	5.5	0.2	6.0	inb, northb, wake
05TI(T4)	5.3	2005 MAR 31 (090), 20:05:11	2403.6	117.8	33.1	-2.7	-5.3	-0.1	5.9	outb, southb, wake
06TI(T5)	5.3	2005 APR 16 (106), 19:11:46	1026.5	272.2	74.4	-2.9	-5.3	-0.8	6.1	outb, southb, upstr.
13TI(T6)	5.0	2005 AUG 22 (234), 08:49:59	3785.3	83.1	-54.3	-2.8	-5.1	-1.0	5.9	outb, southb, wake
14TI(T7)	5.0	2005 SEP 07 (250), 08:00:25	2875.3	10.7	-32.9	-2.9	-5.1	-0.7	5.9	outb, southb, inner fl.
17TI(T8)	9.3	2005 OCT 28 (301), 04:08:07	2082.7	211.5	1.0	-2.7	5.2	0.0	5.9	inb, northb, far side
19TI(T9)	3.0	2005 DEC 26 (360), 18:59:25	10410.9	111.3	-0.4	-2.0	-5.2	0.0	5.6	outb, northb, wake
20TI(T10)	8.5	2006 JAN 15 (015), 11:41:25	2042.8	249.7	0.2	-2.0	5.5	0.0	5.8	inb, northb, upstr.
21TI(T11)	1.1	2006 FEB 27 (058), 08:25:18	1812.0	109.8	-0.2	-2.0	-5.5	0.0	5.9	outb, northb, wake
22TI(T12)	6.4	2006 MAR 19 (078), 00:05:55	1949.4	249.5	0.4	-2.0	5.5	0.0	5.8	inb, northb, upstr.
